#;Nome;Fuori lista;Sq.;Under;R.;R.MANTRA;PGv;MV;FM;FVM/1000;QUOT.;FantaSquadra;Costo
7164;Perez M.;;Lecce;20;D;Dd/Dc;1;5;5;2;1;;
7142;Esteves T.;;Pisa;23;D;Dd/E;0;0;0;2;1;;
6826;Dembelè A.;;Torino;21;D;Dd/E;1;5;5;2;1;;
6551;Ilic M.;*;Bologna;22;D;Dc;0;0;0;2;1;;
6464;Wieteska;*;Cagliari;28;D;Dc;0;0;0;2;1;;
5891;Quagliata;*;Cremonese;25;D;Ds/E;0;0;0;2;1;;
543;Padelli;;Udinese;40;P;Por;2;6,25;5,25;2;4;;
7317;Trepy;;Cagliari;19;A;Pc;0;0;0;1;1;;
7309;Isaac;;Verona;21;A;Pc;0;0;0;1;1;;
7277;Arena A.;;Roma;16;A;Pc;0;0;0;1;1;;
7272;Gueye;;Udinese;19;A;Pc;2;5,75;5,75;1;1;;
7264;Ambrosino;;Napoli;22;A;Pc;1;5,5;5,5;1;2;;
7262;Balentien;;Milan;19;A;A;0;0;0;1;1;;
7171;Buffon L.;;Pisa;18;A;A;0;0;0;1;1;Salisburro;1
7159;Skjellerup;;Sassuolo;23;A;Pc;0;0;0;1;1;;
7158;Moro L.;;Sassuolo;24;A;Pc;3;5,67;5,67;1;1;;
6657;Gabrielloni;*;Como;31;A;Pc;0;0;0;1;1;;
2762;Kouamè;;Fiorentina;28;A;A;1;6;6;1;1;;
7248;Gorter;;Lecce;20;C;M/C;1;5,5;5,5;1;2;;
7151;Arena;*;Pisa;25;C;W/T;0;0;0;1;1;;
7025;Cuenca H.;;Genoa;20;C;W/T;0;0;0;1;1;;
6678;Liberali;*;Milan;18;C;W/T;0;0;0;1;1;;
6677;Adzic;;Juventus;19;C;C/T;3;6,17;7,17;1;2;;
6656;Braunoder;*;Como;23;C;M/C;0;0;0;1;1;;
6618;Cissè A.;*;Verona;19;C;W/T;0;0;0;1;1;;
6506;Fini;;Genoa;19;C;E/W;1;5,5;5,5;1;2;;
2553;Alli;*;Como;29;C;T;0;0;0;1;1;;
2076;Rog;;Cagliari;30;C;M/C;0;0;0;1;1;;
7312;Arizala;;Udinese;20;D;Ds/E;0;0;0;1;1;;
7238;Kouadio;;Fiorentina;19;D;Dc;1;6;6;1;1;;
6885;Abdulhamid;*;Roma;26;D;Dd/E;0;0;0;1;1;;
6874;Palacios T.;;Inter;22;D;Dc;0;0;0;1;1;;
